timestamp,symbol,side,entry_price,quantity,sl_price,tp_price,leverage,strategy,status,pnl,note
2026-03-02T02:07:47.982257+00:00,1000PEPEUSDT,SELL,0.0,1444.0,,,5,unknown,NEW,,
2026-03-02T02:08:15.245843+00:00,HYPEUSDT,SELL,0.0,0.16,,,5,unknown,NEW,,
2026-03-02T02:08:17.634215+00:00,1000PEPEUSDT,SELL,0.0,1446.0,,,5,unknown,NEW,,
2026-03-02T02:08:31.347895+00:00,HYPEUSDT,SELL,0.0,0.16,,,5,unknown,NEW,,
2026-03-02T02:08:33.728753+00:00,1000PEPEUSDT,SELL,0.0,1444.0,,,5,unknown,NEW,,
2026-03-02T02:08:47.444735+00:00,HYPEUSDT,SELL,0.0,0.16,,,5,unknown,NEW,,
2026-03-02T02:08:49.841897+00:00,1000PEPEUSDT,SELL,0.0,1445.0,,,5,unknown,NEW,,
2026-03-02T02:09:03.521396+00:00,HYPEUSDT,SELL,0.0,0.16,,,5,unknown,NEW,,
2026-03-02T02:09:05.888158+00:00,1000PEPEUSDT,SELL,0.0,1444.0,,,5,unknown,NEW,,
2026-03-02T02:09:19.610977+00:00,HYPEUSDT,SELL,0.0,0.16,,,5,unknown,NEW,,
2026-03-02T02:09:21.973327+00:00,1000PEPEUSDT,SELL,0.0,1445.0,,,5,unknown,NEW,,
2026-03-02T02:09:35.681844+00:00,HYPEUSDT,SELL,0.0,0.16,,,5,unknown,NEW,,
2026-03-02T02:09:50.809813+00:00,HYPEUSDT,SELL,0.0,0.16,,,5,unknown,NEW,,
2026-03-02T02:09:53.160042+00:00,1000PEPEUSDT,SELL,0.0,1444.0,,,5,unknown,NEW,,
2026-03-02T02:10:06.880737+00:00,HYPEUSDT,SELL,0.0,0.16,,,5,unknown,NEW,,
2026-03-02T02:12:03.992887+00:00,SOLUSDT,SELL,0.0,0.06,,,5,unknown,NEW,,
2026-03-02T02:12:20.160011+00:00,SOLUSDT,SELL,0.0,0.06,,,5,unknown,NEW,,
2026-03-02T02:12:36.354994+00:00,SOLUSDT,SELL,0.0,0.06,,,5,unknown,NEW,,
2026-03-02T02:12:52.540588+00:00,SOLUSDT,SELL,0.0,0.06,,,5,unknown,NEW,,
2026-03-02T02:13:08.754820+00:00,SOLUSDT,SELL,0.0,0.06,,,5,unknown,NEW,,
2026-03-02T02:13:25.010224+00:00,SOLUSDT,SELL,0.0,0.06,,,5,unknown,NEW,,
2026-03-02T02:13:41.271775+00:00,SOLUSDT,SELL,0.0,0.06,,,5,unknown,NEW,,
2026-03-02T02:13:57.434729+00:00,SOLUSDT,SELL,0.0,0.06,,,5,unknown,NEW,,
2026-03-02T02:14:13.651702+00:00,SOLUSDT,SELL,0.0,0.06,,,5,unknown,NEW,,
2026-03-02T02:14:29.894851+00:00,SOLUSDT,SELL,0.0,0.06,,,5,unknown,NEW,,
2026-03-02T02:14:46.132984+00:00,SOLUSDT,SELL,0.0,0.06,,,5,unknown,NEW,,
2026-03-02T02:15:02.516522+00:00,SOLUSDT,SELL,0.0,0.06,,,5,unknown,NEW,,
2026-03-02T02:19:19.583458+00:00,XRPUSDT,SELL,0.0,3.7,,,5,unknown,NEW,,
2026-03-02T02:19:33.736069+00:00,XRPUSDT,SELL,0.0,3.7,,,5,unknown,NEW,,
2026-03-02T02:19:47.812604+00:00,XRPUSDT,SELL,0.0,3.7,,,5,unknown,NEW,,
2026-03-02T02:20:02.941386+00:00,XRPUSDT,SELL,0.0,3.7,,,5,unknown,NEW,,
2026-03-02T02:57:47.511867+00:00,RIVERUSDT,BUY,0.0,0.7,,,,,NEW,,
2026-03-02T02:58:11.459826+00:00,RIVERUSDT,BUY,0.0,0.7,,,,,NEW,,
